Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
0.524948024948025,0.4612794612794613,0,300,16,3,0.7,0.003,0:01:51.470220
0.5769230769230769,0.5336700336700336,0,200,25,3,0.8,0.001,0:01:54.676207
0.6340956340956341,0.5841750841750841,0,200,25,1,0.7,0.003,0:01:56.467093
0.5457380457380457,0.5185185185185185,0,300,16,3,0.7,0.001,0:01:44.618141
0.5748440748440748,0.5016835016835017,0,200,25,3,0.9,0.003,0:01:50.829923
0.5769230769230769,0.5336700336700336,0,200,25,1,0.7,0.001,0:01:49.091485
0.5280665280665281,0.468013468013468,0,300,16,3,0.8,0.003,0:01:49.957800
0.3794178794178794,0.3484848484848485,0,200,25,3,0.9,0.001,0:01:52.476761
0.5758835758835759,0.494949494949495,0,200,25,1,0.8,0.003,0:01:54.564096
0.5457380457380457,0.5185185185185185,0,300,16,3,0.8,0.001,0:01:46.685243
0.5602910602910602,0.5067340067340067,0,300,16,1,0.7,0.003,0:01:50.237337
0.5769230769230769,0.5336700336700336,0,200,25,1,0.8,0.001,0:01:52.475950
0.5686070686070686,0.5286195286195287,0,300,16,3,0.9,0.003,0:01:46.307359
0.46465696465696466,0.42592592592592593,0,300,16,1,0.7,0.001,0:01:43.970972
0.7141372141372141,0.6245791245791246,0,200,25,1,0.9,0.003,0:01:50.642044
0.40124740124740127,0.34175084175084175,0,300,16,3,0.9,0.001,0:01:45.953825
0.6652806652806653,0.569023569023569,0,300,16,1,0.8,0.003,0:01:48.349243
0.3180873180873181,0.2777777777777778,0,200,25,1,0.9,0.001,0:01:50.742215
0.4916839916839917,0.4595959595959596,1,200,25,1,0.7,0.003,0:01:52.734549
0.5457380457380457,0.5185185185185185,0,300,16,1,0.8,0.001,0:01:47.047904
0.6174636174636174,0.5757575757575758,0,200,25,2,0.7,0.003,0:01:53.877815
0.4189189189189189,0.35353535353535354,1,200,25,1,0.7,0.001,0:01:49.908147
