Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
0.659043659043659,0.5488215488215489,0,310,16,1,0.85,0.0035,0:01:52.968016
0.6195426195426196,0.5606060606060606,1,250,20,1,0.85,0.0035,0:01:54.676443
0.5051975051975052,0.40235690235690236,0,250,20,1,0.85,0.0035,0:01:55.067399
0.45426195426195426,0.4511784511784512,0,310,16,1,0.85,0.0025,0:02:04.007506
0.5405405405405406,0.5,0,250,20,1,0.85,0.0025,0:02:05.542395
0.6216216216216216,0.5168350168350169,1,250,20,1,0.85,0.0025,0:02:06.068436
0.5862785862785863,0.5404040404040404,0,310,16,1,0.75,0.0035,0:02:03.167744
0.6091476091476091,0.5656565656565656,0,250,20,1,0.75,0.0035,0:02:04.674627
0.4875259875259875,0.4377104377104377,1,250,20,1,0.75,0.0035,0:02:05.419713
0.5696465696465697,0.4612794612794613,0,310,16,1,0.75,0.0025,0:02:08.229860
0.5051975051975052,0.4158249158249158,0,250,20,1,0.75,0.0025,0:02:09.847388
0.656964656964657,0.5589225589225589,1,250,20,1,0.75,0.0025,0:02:10.260434
0.5623700623700624,0.5117845117845118,0,310,16,1.25,0.85,0.0035,0:02:04.772752
0.5831600831600832,0.4898989898989899,0,250,20,1.25,0.85,0.0035,0:02:07.783703
0.5821205821205822,0.51010101010101,1,250,20,1.25,0.85,0.0035,0:02:07.809453
0.5509355509355509,0.4730639730639731,0,310,16,1.25,0.85,0.0025,0:02:03.412876
0.6704781704781705,0.6144781144781145,0,250,20,1.25,0.85,0.0025,0:02:04.260285
0.5592515592515592,0.5202020202020202,1,250,20,1.25,0.85,0.0025,0:02:04.739328
0.5831600831600832,0.4898989898989899,0,310,16,1.25,0.75,0.0035,0:02:06.117828
0.5207900207900208,0.4478114478114478,0,250,20,1.25,0.75,0.0035,0:02:08.174358
0.4553014553014553,0.4090909090909091,1,250,20,1.25,0.75,0.0035,0:02:07.862196
