Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,p,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,p,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,p,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,p,time
0.4802494802494803,0.43265993265993263,3,300,16,2,0.8,0.003,0.01,0:01:13.086623
0.5384615384615384,0.468013468013468,4,200,25,1,0.9,0.003,0.005,0:01:25.013740
0.4407484407484408,0.4006734006734007,4,300,16,1,0.8,0.003,0.02,0:01:34.878369
0.6652806652806653,0.6077441077441077,3,300,16,2,0.8,0.003,0.005,0:01:36.150964
0.5343035343035343,0.49326599326599324,4,200,25,1,0.9,0.003,0.02,0:01:45.511942
0.5291060291060291,0.4276094276094276,4,300,16,1,0.9,0.003,0.01,0:01:40.306856
0.5,0.45454545454545453,3,300,16,2,0.8,0.003,0.02,0:01:40.292896
0.4594594594594595,0.3771043771043771,4,200,25,2,0.8,0.003,0.01,0:01:28.309930
0.5239085239085239,0.42592592592592593,4,300,16,1,0.9,0.003,0.005,0:01:16.423703
0.527027027027027,0.46296296296296297,3,300,16,2,0.9,0.003,0.01,0:01:13.790745
0.5945945945945946,0.5370370370370371,4,200,25,2,0.8,0.003,0.005,0:01:20.326266
0.5145530145530145,0.4511784511784512,4,300,16,1,0.9,0.003,0.02,0:01:16.732875
0.43347193347193347,0.41414141414141414,3,300,16,2,0.9,0.003,0.005,0:01:16.137465
0.5207900207900208,0.4444444444444444,4,200,25,2,0.8,0.003,0.02,0:01:17.790048
0.5166320166320166,0.4831649831649832,4,300,16,2,0.8,0.003,0.01,0:01:13.591273
0.46361746361746364,0.40235690235690236,3,300,16,2,0.9,0.003,0.02,0:01:14.144792
0.47297297297297297,0.41919191919191917,4,200,25,2,0.9,0.003,0.01,0:01:15.804358
0.48440748440748443,0.4158249158249158,4,300,16,2,0.8,0.003,0.005,0:01:13.330968
0.5332640332640333,0.4781144781144781,4,200,25,1,0.8,0.003,0.01,0:01:16.127493
0.5644490644490644,0.45791245791245794,4,200,25,2,0.9,0.003,0.005,0:01:16.541386
0.5145530145530145,0.4562289562289562,4,300,16,2,0.8,0.003,0.02,0:01:12.899120
0.5135135135135135,0.43097643097643096,4,200,25,1,0.8,0.003,0.005,0:01:16.564326
0.369022869022869,0.3484848484848485,4,200,25,2,0.9,0.003,0.02,0:01:19.178337
0.5488565488565489,0.4797979797979798,4,300,16,2,0.9,0.003,0.01,0:01:17.674364
0.36382536382536385,0.3383838383838384,4,200,25,1,0.8,0.003,0.02,0:01:20.232522
0.6808731808731808,0.6043771043771043,4,300,16,1,0.8,0.003,0.01,0:01:16.684026
0.5405405405405406,0.4831649831649832,4,300,16,2,0.9,0.003,0.005,0:01:15.043390
0.48440748440748443,0.43602693602693604,4,200,25,1,0.9,0.003,0.01,0:01:17.462926
0.5395010395010394,0.45791245791245794,4,300,16,1,0.8,0.003,0.005,0:01:05.517879
0.3898128898128898,0.34175084175084175,4,300,16,2,0.9,0.003,0.02,0:01:00.822407
