Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
3,100,50,0.8,0.9,0.01,0.4,0.4584199584199584,0.41245791245791247,0:04:58.367941
1,100,50,0.8,0.9,0.01,0.4,0.3877338877338877,0.3333333333333333,0:05:00.246915
2,100,50,0.8,0.9,0.01,0.4,0.4158004158004158,0.3569023569023569,0:05:02.311392
0,100,50,0.8,0.9,0.01,0.4,0.40332640332640335,0.3333333333333333,0:05:03.509189
4,100,50,0.8,0.9,0.01,0.4,0.47193347193347196,0.41414141414141414,0:02:57.252967
