Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
0.49584199584199584,0.43097643097643096,0,100,50,1,0.7,0.005,0:01:29.940044
0.3596673596673597,0.3164983164983165,0,300,16,2,0.8,0.015,0:01:31.355611
0.5623700623700624,0.494949494949495,0,200,25,1,0.9,0.01,0:01:32.626238
0.5,0.4696969696969697,0,300,16,2,0.9,0.005,0:01:31.636271
0.5197505197505198,0.45791245791245794,0,100,50,1,0.7,0.01,0:01:40.246611
0.524948024948025,0.4663299663299663,0,200,25,1,0.9,0.015,0:01:42.893158
0.6309771309771309,0.5774410774410774,0,300,16,2,0.9,0.01,0:01:27.435276
0.38253638253638256,0.3552188552188552,0,200,25,2,0.7,0.005,0:01:25.705888
0.4802494802494803,0.44612794612794615,0,100,50,1,0.7,0.015,0:01:32.478781
0.47193347193347196,0.41414141414141414,0,300,16,2,0.9,0.015,0:01:26.011072
0.5343035343035343,0.4882154882154882,0,100,50,1,0.8,0.005,0:01:25.232154
0.5831600831600832,0.5606060606060606,0,200,25,2,0.7,0.01,0:01:27.330544
0.46673596673596673,0.4511784511784512,0,300,16,3,0.7,0.005,0:01:19.519197
0.6153846153846154,0.5370370370370371,0,100,50,1,0.8,0.01,0:01:25.770485
0.4386694386694387,0.4175084175084175,0,200,25,2,0.7,0.015,0:01:28.315676
0.6122661122661123,0.5505050505050505,0,300,16,3,0.7,0.01,0:01:19.579266
0.5977130977130977,0.5353535353535354,0,200,25,2,0.8,0.005,0:01:22.006575
0.5166320166320166,0.48148148148148145,0,100,50,1,0.8,0.015,0:01:28.171097
0.4875259875259875,0.4006734006734007,0,300,16,3,0.7,0.015,0:01:23.484625
0.5062370062370062,0.48484848484848486,0,200,25,2,0.8,0.01,0:01:23.271396
0.5031185031185031,0.4562289562289562,0,100,50,1,0.9,0.005,0:01:20.805985
0.6413721413721414,0.5993265993265994,0,300,16,3,0.8,0.005,0:01:17.120838
