Fitness,UnseenAccuracy,Seed,N_gen,PS,PC,PM,radius,Pressure,elite_count,Time,alg,sel,cross,mut
0.29521829521829523,0.28619528619528617,1,180,27,1,0.5,0.6,0.8,0,0:15:39.905204,<genetic_algorithm.GeneticAlgorithm object at 0x1208e4e80>,<function parameterized_best_or_random_selection.<locals>.best_or_random_selection at 0x120619730>,<function one_point_crossover at 0x1205be378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x120619840>
0.3908523908523909,0.3282828282828283,0,180,27,1,0.5,0.6,0.8,0,0:15:43.777986,<genetic_algorithm.GeneticAlgorithm object at 0x1208e4dd8>,<function parameterized_best_or_random_selection.<locals>.best_or_random_selection at 0x120619730>,<function one_point_crossover at 0x1205be378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x120619840>
0.32744282744282743,0.2962962962962963,3,180,27,1,0.5,0.6,0.8,0,0:49:43.989127,<genetic_algorithm.GeneticAlgorithm object at 0x1208e49b0>,<function parameterized_best_or_random_selection.<locals>.best_or_random_selection at 0x120619840>,<function one_point_crossover at 0x1205be378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x120619730>
0.34303534303534305,0.2878787878787879,2,180,27,1,0.5,0.6,0.8,0,0:49:48.364387,<genetic_algorithm.GeneticAlgorithm object at 0x1208e4c50>,<function parameterized_best_or_random_selection.<locals>.best_or_random_selection at 0x120619840>,<function one_point_crossover at 0x1205be378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x120619730>
0.316008316008316,0.32491582491582494,4,180,27,1,0.5,0.6,0.8,0,0:07:03.037428,<genetic_algorithm.GeneticAlgorithm object at 0x1208e4b70>,<function parameterized_best_or_random_selection.<locals>.best_or_random_selection at 0x120619730>,<function one_point_crossover at 0x1205be378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x120619840>
