Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
0.4812889812889813,0.44276094276094274,0,300,16,1,0.8,0.003,0.008,0:01:24.086216
0.6247401247401247,0.563973063973064,2,300,16,1,0.8,0.003,0.008,0:01:24.433291
0.6559251559251559,0.5808080808080808,1,300,16,1,0.8,0.003,0.008,0:01:25.782687
0.5426195426195426,0.5218855218855218,3,300,16,1,0.8,0.003,0.008,0:01:23.800979
0.5602910602910602,0.5067340067340067,4,300,16,1,0.8,0.003,0.008,0:01:24.335554
0.4885654885654886,0.42592592592592593,5,300,16,1,0.8,0.003,0.008,0:01:24.473220
